BPC,CCR,Report_Date,Entry,Age,ctznRace,ctznSex,Closed,Unit,Administrative_Closure,Allegation,Finding,ofcrRace,ofcrSex,ObjectId
18-1091,70595,2019/12/31 00:00:00+00,Walk In,29,Black,Male,2019/01/11 00:00:00+00,UNKNOWN COMMAND,Transferred,Search,No Charge,UNKNOWN,UNKNOWN,12538
18-1091,70595,2019/12/31 00:00:00+00,Walk In,29,Black,Male,2019/01/11 00:00:00+00,UNKNOWN COMMAND,Transferred,Procedure,No Charge,UNKNOWN,UNKNOWN,12539
18-1091,70595,2019/12/31 00:00:00+00,Walk In,29,Black,Male,2019/01/11 00:00:00+00,UNKNOWN COMMAND,Transferred,Harassment,No Charge,UNKNOWN,UNKNOWN,12540
18-1091,70595,2019/12/31 00:00:00+00,Walk In,29,Black,Male,2019/01/11 00:00:00+00,5TH PRECINCT,Transferred,Procedure,Admin. Closure,B,M,12541
18-1090,70586,2019/12/30 00:00:00+00,In-Custody,45,Black,Female,2019/04/02 00:00:00+00,12TH PRECINCT,,Procedure,Exonerated,Black,Male,12534
18-1090,70586,2019/12/30 00:00:00+00,In-Custody,45,Black,Female,2019/04/02 00:00:00+00,12TH PRECINCT,,Force,No Charge,Black,Male,12535
18-1090,70586,2019/12/30 00:00:00+00,In-Custody,45,Black,Female,2019/04/02 00:00:00+00,12TH PRECINCT,,Demeanor,Sustained,Black,Male,12536
18-1090,70586,2019/12/30 00:00:00+00,In-Custody,45,Black,Female,2019/04/02 00:00:00+00,12TH PRECINCT,,Arrest,No Charge,Black,Male,12537
18-1089,70585,2019/12/29 00:00:00+00,In-Custody,33,Black,Female,2019/01/15 00:00:00+00,6TH PRECINCT,,Procedure,Unfounded,White,Male,12526
18-1089,70585,2019/12/29 00:00:00+00,In-Custody,33,Black,Female,2019/01/15 00:00:00+00,6TH PRECINCT,,Procedure,No Charge,Black,Male,12527
18-1089,70585,2019/12/29 00:00:00+00,In-Custody,33,Black,Female,2019/01/15 00:00:00+00,6TH PRECINCT,,Procedure,No Charge,White,Male,12528
18-1089,70585,2019/12/29 00:00:00+00,In-Custody,33,Black,Female,2019/01/15 00:00:00+00,6TH PRECINCT,,Procedure,No Charge,H,M,12529
18-1089,70585,2019/12/29 00:00:00+00,In-Custody,33,Black,Female,2019/01/15 00:00:00+00,6TH PRECINCT,,Arrest,Unfounded,White,Male,12530
18-1089,70585,2019/12/29 00:00:00+00,In-Custody,33,Black,Female,2019/01/15 00:00:00+00,6TH PRECINCT,,Arrest,Unfounded,H,M,12531
18-1089,70585,2019/12/29 00:00:00+00,In-Custody,33,Black,Female,2019/01/15 00:00:00+00,6TH PRECINCT,,Arrest,No Charge,Black,Male,12532
18-1089,70585,2019/12/29 00:00:00+00,In-Custody,33,Black,Female,2019/01/15 00:00:00+00,6TH PRECINCT,,Arrest,No Charge,White,Male,12533
18-1088,70584,2019/12/28 00:00:00+00,Telephone(or TDD),44,Black,Female,2019/03/29 00:00:00+00,DOMESTIC VIOLENCE,,Service,No Charge,B,M,12510
18-1088,70584,2019/12/28 00:00:00+00,Telephone(or TDD),44,Black,Female,2019/03/29 00:00:00+00,12TH PRECINCT,,Service,Inconclusive,White,Male,12511
18-1088,70584,2019/12/28 00:00:00+00,Telephone(or TDD),44,Black,Female,2019/03/29 00:00:00+00,12TH PRECINCT,,Service,Inconclusive,White,Male,12512
18-1088,70584,2019/12/28 00:00:00+00,Telephone(or TDD),44,Black,Female,2019/03/29 00:00:00+00,12TH PRECINCT,,Procedure,Sustained,White,Male,12513
18-1088,70584,2019/12/28 00:00:00+00,Telephone(or TDD),44,Black,Female,2019/03/29 00:00:00+00,12TH PRECINCT,,Procedure,Sustained,White,Male,12514
18-1087,70582,2019/12/28 00:00:00+00,Walk In,47,Black,Male,2019/02/26 00:00:00+00,CHIEF NEIGHBORHOOD LIAISON,Transferred,Demeanor,Admin. Closure,B,M,12515
18-1086,70580,2019/12/28 00:00:00+00,Telephone(or TDD),32,Black,Female,2019/03/18 00:00:00+00,8TH PRECINCT,,Service,Unfounded,Black,Male,12516
18-1086,70580,2019/12/28 00:00:00+00,Telephone(or TDD),32,Black,Female,2019/03/18 00:00:00+00,8TH PRECINCT,,Property,Unfounded,Black,Male,12517
18-1086,70580,2019/12/28 00:00:00+00,Telephone(or TDD),32,Black,Female,2019/03/18 00:00:00+00,8TH PRECINCT,,Property,Inconclusive,White,Male,12518
