BPC,CCR,Report_Date,Entry,Age,ctznRace,ctznSex,Closed,Unit,Administrative_Closure,Allegation,Finding,ofcrRace,ofcrSex,ObjectId
18-402,69845,2020/05/31 00:00:00+00,Telephone (or TDD),28,Black,Female,2018/08/24 00:00:00+00,6TH PRECINCT,Admin. Closure,Service,Admin. Closure,Black,Male,10013
18-402,69845,2020/05/31 00:00:00+00,Telephone (or TDD),28,Black,Female,2018/08/24 00:00:00+00,6TH PRECINCT,Admin. Closure,Service,Admin. Closure,Black,Male,10021
18-402,69845,2020/05/31 00:00:00+00,Telephone (or TDD),28,Black,Female,2018/08/24 00:00:00+00,6TH PRECINCT,Admin. Closure,Service,Admin. Closure,Black,Male,10029
18-402,69845,2020/05/31 00:00:00+00,Telephone (or TDD),28,Black,Female,2018/08/24 00:00:00+00,6TH PRECINCT,Admin. Closure,Service,Admin. Closure,White,Male,10030
18-403,69846,2020/05/31 00:00:00+00,Telephone (or TDD),28,Black,Female,2018/07/30 00:00:00+00,DOWNTOWN SERVICES DIVISION,,Procedure,Sustained,Black,Female,10031
18-401,69844,2020/05/31 00:00:00+00,Walk In,31,Black,Male,2018/09/05 00:00:00+00,UNKNOWN COMMAND,,Demeanor,No Charge,Unknown,Unknown,10336
18-401,69844,2020/05/31 00:00:00+00,Walk In,31,Black,Male,2018/09/05 00:00:00+00,DOWNTOWN SERVICES DIVISION,,Procedure,Inconclusive,Black,Male,10337
18-403,69846,2020/05/31 00:00:00+00,Telephone (or TDD),28,Black,Female,2018/07/30 00:00:00+00,DOWNTOWN SERVICES DIVISION,,Procedure,Exonerated,Black,Female,10338
18-403,69846,2020/05/31 00:00:00+00,Telephone (or TDD),28,Black,Female,2018/07/30 00:00:00+00,DOWNTOWN SERVICES DIVISION,,Procedure,Inconclusive,Black,Female,10339
18-403,69846,2020/05/31 00:00:00+00,Telephone (or TDD),28,Black,Female,2018/07/30 00:00:00+00,DOWNTOWN SERVICES DIVISION,,Demeanor,Inconclusive,Black,Female,10340
18-401,69844,2020/05/31 00:00:00+00,Walk In,31,Black,Male,2018/09/05 00:00:00+00,DOWNTOWN SERVICES DIVISION,,Demeanor,Inconclusive,Black,Male,10341
18-402,69845,2020/05/31 00:00:00+00,Telephone (or TDD),28,Black,Female,2018/08/24 00:00:00+00,6TH PRECINCT,Admin. Closure,Demeanor,No Charge,Black,Male,10342
18-402,69845,2020/05/31 00:00:00+00,Telephone (or TDD),28,Black,Female,2018/08/24 00:00:00+00,6TH PRECINCT,Admin. Closure,Demeanor,No Charge,Black,Male,10343
18-403,69846,2020/05/31 00:00:00+00,Telephone (or TDD),28,Black,Female,2018/07/30 00:00:00+00,DOWNTOWN SERVICES DIVISION,,PROcedure,Sustained,Black,Male,10344
18-397,69840,2020/05/30 00:00:00+00,Telephone (or TDD),50,Black,Female,2018/09/04 00:00:00+00,12TH PRECINCT,,Service,Unfounded,Black,Female,10323
18-397,69840,2020/05/30 00:00:00+00,Telephone (or TDD),50,Black,Female,2018/09/04 00:00:00+00,12TH PRECINCT,,Procedure,Unfounded,Black,Female,10324
18-399,69842,2020/05/30 00:00:00+00,Telephone (or TDD),45,Unknown,Male,2018/08/31 00:00:00+00,6TH PRECINCT,,Property,Inconclusive,Hispanic,Male,10325
18-400,69843,2020/05/30 00:00:00+00,Walk In,31,Black,Female,2018/08/28 00:00:00+00,6TH PRECINCT,Admin. Closure,Harassment,Admin. Closure,White,Male,10326
18-399,69842,2020/05/30 00:00:00+00,Telephone (or TDD),45,Unknown,Male,2018/08/31 00:00:00+00,6TH PRECINCT,,Procedure,Unfounded,White,Male,10327
18-399,69842,2020/05/30 00:00:00+00,Telephone (or TDD),45,Unknown,Male,2018/08/31 00:00:00+00,6TH PRECINCT,,Procedure,Unfounded,Hispanic,Male,10328
18-398,69841,2020/05/30 00:00:00+00,Telephone (or TDD),52,Unknown,Female,2018/08/27 00:00:00+00,10TH PRECINCT PDU,Admin.close/Inadequate Service,Service,Admin. Closure,Black,Male,10329
18-400,69843,2020/05/30 00:00:00+00,Walk In,31,Black,Female,2018/08/28 00:00:00+00,6TH PRECINCT,Admin. Closure,Demeanor,No Charge,White,Male,10330
18-400,69843,2020/05/30 00:00:00+00,Walk In,31,Black,Female,2018/08/28 00:00:00+00,6TH PRECINCT,Admin. Closure,Procedure,No Charge,White,Male,10331
18-398,69841,2020/05/30 00:00:00+00,Telephone (or TDD),52,Unknown,Female,2018/08/27 00:00:00+00,10TH PRECINCT PDU,Admin.close/Inadequate Service,Property,No Charge,Black,Male,10332
18-399,69842,2020/05/30 00:00:00+00,Telephone (or TDD),45,Unknown,Male,2018/08/31 00:00:00+00,UNKNOWN COMMAND,,Property,No Charge,Unknown,Unknown,10333
18-397,69840,2020/05/30 00:00:00+00,Telephone (or TDD),50,Black,Female,2018/09/04 00:00:00+00,12TH PRECINCT,,Demeanor,Unfounded,Black,Female,10334
18-397,69840,2020/05/30 00:00:00+00,Telephone (or TDD),50,Black,Female,2018/09/04 00:00:00+00,12TH PRECINCT,,Procedure,Unfounded,White,Male,10335
18-392,69835,2020/05/29 00:00:00+00,Telephone (or TDD),2,Black,Male,2018/05/29 00:00:00+00,UNKNOWN COMMAND,Duplication,Search,Void,Unknown,Unknown,10204
18-393,69836,2020/05/29 00:00:00+00,Telephone (or TDD),31,Black,Male,2018/06/06 00:00:00+00,AUCTION DETAIL,Admin. Closure,Procedure,Admin. Closure,Black,Male,10210
18-396,69839,2020/05/29 00:00:00+00,Walk In,27,Black,Female,2018/08/28 00:00:00+00,UNKNOWN COMMAND,,Demeanor,No Charge,Unknown,Unknown,10271
18-395,69838,2020/05/29 00:00:00+00,In-Custody,22,Black,Male,2018/07/12 00:00:00+00,UNKNOWN COMMAND,Admin. Closure,Procedure,Admin. Closure,Unknown,Unknown,10278
18-395,69838,2020/05/29 00:00:00+00,In-Custody,22,Black,Male,2018/07/12 00:00:00+00,UNKNOWN COMMAND,Admin. Closure,Harassment,No Charge,Unknown,Unknown,10281
18-396,69839,2020/05/29 00:00:00+00,Walk In,27,Black,Female,2018/08/28 00:00:00+00,CITYWIDE PARK UNIT,,Demeanor,No Charge,Black,Female,10285
18-395,69838,2020/05/29 00:00:00+00,In-Custody,22,Black,Male,2018/07/12 00:00:00+00,UNKNOWN COMMAND,Admin. Closure,Demeanor,No Charge,Unknown,Unknown,10317
18-394,69837,2020/05/29 00:00:00+00,Online,0,White,Female,2018/08/28 00:00:00+00,COMMUNICATIONS OPERATIONS,,Procedure,Inconclusive,Black,Male,10319
18-396,69839,2020/05/29 00:00:00+00,Walk In,27,Black,Female,2018/08/28 00:00:00+00,CITYWIDE PARK UNIT,,Procedure,Sustained,Black,Female,10320
18-396,69839,2020/05/29 00:00:00+00,Walk In,27,Black,Female,2018/08/28 00:00:00+00,UNKNOWN COMMAND,,Procedure,No Charge,Unknown,Unknown,10321
18-394,69837,2020/05/29 00:00:00+00,Online,0,White,Female,2018/08/28 00:00:00+00,UNKNOWN COMMAND,,Service,No Charge,Unknown,Unknown,10322
18-391,69834,2020/05/28 00:00:00+00,Telephone (or TDD),58,White,Male,2018/11/14 00:00:00+00,UNKNOWN COMMAND,,Force,No Charge,Unknown,Unknown,10001
18-391,69834,2020/05/28 00:00:00+00,Telephone (or TDD),58,White,Male,2018/11/14 00:00:00+00,5TH PRECINCT,,Procedure,Sustained,White,Male,10002
18-391,69834,2020/05/28 00:00:00+00,Telephone (or TDD),58,White,Male,2018/11/14 00:00:00+00,5TH PRECINCT,,Procedure,Unfounded,White,Female,10003
18-391,69834,2020/05/28 00:00:00+00,Telephone (or TDD),58,White,Male,2018/11/14 00:00:00+00,5TH PRECINCT,,Procedure,Unfounded,White,Female,10005
18-391,69834,2020/05/28 00:00:00+00,Telephone (or TDD),58,White,Male,2018/11/14 00:00:00+00,5TH PRECINCT,,Procedure,Unfounded,Black,Female,10006
18-391,69834,2020/05/28 00:00:00+00,Telephone (or TDD),58,White,Male,2018/11/14 00:00:00+00,5TH PRECINCT,,Demeanor,Sustained,White,Male,10007
18-391,69834,2020/05/28 00:00:00+00,Telephone (or TDD),58,White,Male,2018/11/14 00:00:00+00,5TH PRECINCT,,Service,Unfounded,Black,Female,10009
18-391,69834,2020/05/28 00:00:00+00,Telephone (or TDD),58,White,Male,2018/11/14 00:00:00+00,5TH PRECINCT,,Service,Unfounded,Black,Female,10012
18-391,69834,2020/05/28 00:00:00+00,Telephone (or TDD),58,White,Male,2018/11/14 00:00:00+00,UNKNOWN COMMAND,,Demeanor,No Charge,Unknown,Unknown,10018
18-391,69834,2020/05/28 00:00:00+00,Telephone (or TDD),58,White,Male,2018/11/14 00:00:00+00,5TH PRECINCT,,Service,Unfounded,White,Male,10026
18-391,69834,2020/05/28 00:00:00+00,Telephone (or TDD),58,White,Male,2018/11/14 00:00:00+00,5TH PRECINCT,,Procedure,Exonerated,White,Female,10079
18-391,69834,2020/05/28 00:00:00+00,Telephone (or TDD),58,White,Male,2018/11/14 00:00:00+00,5TH PRECINCT,,Procedure,Exonerated,White,Female,10086
18-391,69834,2020/05/28 00:00:00+00,Telephone (or TDD),58,White,Male,2018/11/14 00:00:00+00,5TH PRECINCT,,Procedure,Exonerated,White,Male,10097
18-391,69834,2020/05/28 00:00:00+00,Telephone (or TDD),58,White,Male,2018/11/14 00:00:00+00,5TH PRECINCT,,Procedure,Sustained,Black,Female,10104
18-391,69834,2020/05/28 00:00:00+00,Telephone (or TDD),58,White,Male,2018/11/14 00:00:00+00,TACTICAL RESPONSE UNIT,,Force,Unfounded,White,Male,10155
18-391,69834,2020/05/28 00:00:00+00,Telephone (or TDD),58,White,Male,2018/11/14 00:00:00+00,UNKNOWN COMMAND,,Procedure,No Charge,Unknown,Unknown,10160
18-391,69834,2020/05/28 00:00:00+00,Telephone (or TDD),58,White,Male,2018/11/14 00:00:00+00,5TH PRECINCT,,Search,Exonerated,White,Male,10189
18-391,69834,2020/05/28 00:00:00+00,Telephone (or TDD),58,White,Male,2018/11/14 00:00:00+00,5TH PRECINCT,,Demeanor,No Charge,Black,Female,10263
