Incident Number,CFS or CR,Time Reported,Time Dispatched,Time Arrived,Time Completed,CFS Reported Offense Desc,CFS Verified Offense Desc
456,C,928,928,930,0,Assist Fire Department,Assist Fire Department
457,R,1939,1940,1948,2010,Miscellaneous All Other,Trespass (Other)
458,R,1939,1940,1948,2010,Miscellaneous All Other,Trespass (Other)
459,C,2244,2244,2328,2328,Special Attention Report,Directed Patrol - Larceny
460,C,2200,2200,2201,2207,Burglary Alarm,Burglary Alarm
461,C,1719,1719,1719,1735,Special Attention Report,Directed Patrol - Retail Fraud
462,C,100,100,100,128,Special Attention Report,Directed Patrol
463,C,1254,1254,1255,1303,Special Attention Report,Directed Patrol - Larceny
464,C,1748,1748,1748,1748,Miscellaneous All Other,Pistol Sales Record
465,C,1832,1833,1836,1842,Burglary Alarm,Burglary Alarm
466,C,1632,1632,1632,1633,Community Policing - NC,Directed Patrol - CE Lock It/Lose It
467,C,23,23,100,100,Special Attention Report,Directed Patrol
468,C,342,342,342,356,Special Attention Report,Directed Patrol - Larceny
469,C,305,305,341,341,Special Attention Report,Directed Patrol - Larceny
470,C,353,353,353,416,Special Attention Report,Directed Patrol - Larceny
471,C,1358,1358,1358,1407,Special Attention Report,Directed Patrol - Larceny
472,C,2108,2108,2108,2108,911 Hang Up - No Emergency,Assist Citizen
473,C,1411,1411,1411,1423,Special Attention Report,Directed Patrol - Larceny
474,C,113,113,113,212,Special Attention Report,Directed Patrol - Larceny
475,R,1830,1836,1847,1925,Suspicious Persons,Trespass (Other)
476,R,1830,1836,1847,1925,Suspicious Persons,Trespass (Other)
477,C,1520,1521,1521,1522,Special Attention Report,Directed Patrol - Traffic
478,C,1125,1144,1152,1159,Suspicious Persons,Suspicious Persons
479,C,1047,1048,1048,1151,Miscellaneous All Other,Assist Fire Department
480,C,1415,1425,1439,1513,Property Damage Traffic Crash PDA,Personal Injury Traffic Crash PIA
481,R,1350,1350,1350,0,Fraud (Other),Identity Theft
482,R,1350,1350,1350,0,Fraud (Other),Identity Theft
483,C,710,710,710,746,Special Attention Report,Directed Patrol - Retail Fraud
484,C,427,427,437,437,Special Attention Report,Directed Patrol - Larceny
485,C,251,251,341,341,Special Attention Report,Directed Patrol
486,C,217,218,222,222,Property Damage Traffic Crash PDA,Assist Other Law Enforcement Agency
487,C,1220,1223,1223,1227,Special Attention Report,Directed Patrol - Larceny
488,C,114,114,114,145,Special Attention Report,Directed Patrol - Larceny
489,C,2337,2337,2337,14,Special Attention Report,Directed Patrol
490,C,1854,1854,1854,1854,House/Vacation Check,House/Vacation Check
491,R,818,818,820,853,Personal Injury Traffic Crash PIA,Pedestrian - Personal Injury Traffic Crash
492,R,818,818,820,853,Personal Injury Traffic Crash PIA,Pedestrian - Personal Injury Traffic Crash
493,R,818,818,820,853,Personal Injury Traffic Crash PIA,Pedestrian - Personal Injury Traffic Crash
494,C,803,803,803,827,Special Attention Report,Directed Patrol - Larceny
495,C,1314,1314,1321,0,,Directed Patrol - Community Engagement
496,C,1545,1545,1545,1545,911 Hang Up - No Emergency,Wireless 911 Call
497,R,734,735,748,748,All Other State / Local Offenses,Noise Complaint
498,R,734,735,748,748,All Other State / Local Offenses,Noise Complaint
499,C,2216,2216,2216,2229,Special Attention Report,Directed Patrol - Larceny
500,C,440,440,525,525,Special Attention Report,Directed Patrol - Larceny
501,C,216,216,247,247,Special Attention Report,Directed Patrol - Larceny
502,C,2002,2003,2010,2040,Burglary Alarm,Burglary Alarm
503,C,815,815,815,819,Special Attention Report,Directed Patrol - Retail Fraud
504,C,2155,2155,2155,2207,Special Attention Report,Directed Patrol - Larceny
505,C,2235,2235,2235,2241,Special Attention Report,Directed Patrol - Larceny
506,C,1422,1423,1427,1447,Assist Motorist,Assist Motorist
507,C,1317,1317,1317,1350,Special Attention Report,Directed Patrol - Larceny
508,C,924,924,924,927,Special Attention Report,Directed Patrol - Larceny
509,C,1752,1752,1752,1753,Miscellaneous All Other,Pistol Sales Record
510,C,1626,1626,1626,1652,Special Attention Report,Directed Patrol - Larceny
511,C,1611,1613,1619,0,Miscellaneous Traffic Complaint,Miscellaneous Traffic Complaint
512,C,1504,1506,1509,0,Suspicious Circumstances,Assist Citizen
513,C,2004,2005,2005,2005,911 Hang Up - No Emergency,911 Hang Up - No Emergency
514,C,1552,1552,1552,1613,Special Attention Report,Directed Patrol - Larceny
515,C,2353,2353,2353,5,Special Attention Report,Directed Patrol - Larceny
516,C,2153,2154,2154,2247,Special Attention Report,Directed Patrol - Larceny
517,C,2210,2210,2210,2242,Special Attention Report,Directed Patrol - Larceny
518,C,2246,2247,2247,2353,Special Attention Report,Directed Patrol - Larceny
519,C,1227,1228,1228,1254,Special Attention Report,Special Attention Report
520,C,1228,1229,1229,1243,Special Attention Report,Directed Patrol - Larceny
521,R,1020,1020,1026,1049,Suspicious Circumstances,Found Property
522,R,1020,1020,1026,1049,Suspicious Circumstances,Found Property
523,C,1958,1958,1958,2003,Special Attention Report,Directed Patrol
524,C,452,452,527,537,Special Attention Report,Directed Patrol - Traffic
525,C,1933,1933,1933,1956,Special Attention Report,Directed Patrol
526,C,1921,1921,1921,1940,Special Attention Report,Directed Patrol - Larceny
527,C,28,28,106,106,Special Attention Report,Directed Patrol - Larceny
528,R,1649,1653,1658,1710,Suspicious Persons,Trespass Warning Issued
529,R,1649,1653,1658,1710,Suspicious Persons,Trespass Warning Issued
530,C,1751,1751,1751,1752,Special Attention Report,Pistol Sales Record
531,C,2037,2037,2037,2049,Special Attention Report,Directed Patrol - Larceny
532,C,826,827,902,902,Miscellaneous Traffic Complaint,Suspicious Vehicles
533,C,721,722,723,723,Miscellaneous Traffic Complaint,Reckless Driving
534,C,1933,1933,1933,1940,Special Attention Report,Directed Patrol - Larceny
535,R,2058,2059,2112,2112,Suspicious Circumstances,Trespass Warning Issued
536,R,2058,2059,2112,2112,Suspicious Circumstances,Trespass Warning Issued
537,R,2058,2059,2112,2112,Suspicious Circumstances,Trespass Warning Issued
538,C,2341,2341,2341,2353,Special Attention Report,Directed Patrol - Larceny
539,C,802,803,803,818,Special Attention Report,Directed Patrol - Retail Fraud
540,C,2207,2207,2223,2223,Assist Fire Department,Assist Fire Department
541,C,2154,2154,2243,2243,Special Attention Report,Directed Patrol
542,C,359,359,419,419,Special Attention Report,Directed Patrol - Larceny
544,C,928,928,930,0,Assist Fire Department,Assist Fire Department
545,C,2244,2244,2328,2328,Special Attention Report,Directed Patrol - Larceny
546,C,2200,2200,2201,2207,Burglary Alarm,Burglary Alarm
547,C,1719,1719,1719,1735,Special Attention Report,Directed Patrol - Retail Fraud
548,C,100,100,100,128,Special Attention Report,Directed Patrol
549,C,1254,1254,1255,1303,Special Attention Report,Directed Patrol - Larceny
550,C,1748,1748,1748,1748,Miscellaneous All Other,Pistol Sales Record
551,C,1832,1833,1836,1842,Burglary Alarm,Burglary Alarm
552,C,1632,1632,1632,1633,Community Policing - NC,Directed Patrol - CE Lock It/Lose It
553,C,23,23,100,100,Special Attention Report,Directed Patrol
554,C,342,342,342,356,Special Attention Report,Directed Patrol - Larceny
555,C,305,305,341,341,Special Attention Report,Directed Patrol - Larceny
556,C,353,353,353,416,Special Attention Report,Directed Patrol - Larceny
557,C,1358,1358,1358,1407,Special Attention Report,Directed Patrol - Larceny
558,C,2108,2108,2108,2108,911 Hang Up - No Emergency,Assist Citizen
559,C,1411,1411,1411,1423,Special Attention Report,Directed Patrol - Larceny
560,C,113,113,113,212,Special Attention Report,Directed Patrol - Larceny
561,C,1520,1521,1521,1522,Special Attention Report,Directed Patrol - Traffic
562,C,1125,1144,1152,1159,Suspicious Persons,Suspicious Persons
563,C,1047,1048,1048,1151,Miscellaneous All Other,Assist Fire Department
564,C,710,710,710,746,Special Attention Report,Directed Patrol - Retail Fraud
565,C,427,427,437,437,Special Attention Report,Directed Patrol - Larceny
566,C,251,251,341,341,Special Attention Report,Directed Patrol
567,C,217,218,222,222,Property Damage Traffic Crash PDA,Assist Other Law Enforcement Agency
568,C,1220,1223,1223,1227,Special Attention Report,Directed Patrol - Larceny
569,C,114,114,114,145,Special Attention Report,Directed Patrol - Larceny
570,C,2337,2337,2337,14,Special Attention Report,Directed Patrol
571,C,1854,1854,1854,1854,House/Vacation Check,House/Vacation Check
572,R,818,818,820,853,Personal Injury Traffic Crash PIA,Pedestrian - Personal Injury Traffic Crash
573,C,803,803,803,827,Special Attention Report,Directed Patrol - Larceny
574,C,1314,1314,1321,0,,Directed Patrol - Community Engagement
575,C,1545,1545,1545,1545,911 Hang Up - No Emergency,Wireless 911 Call
576,C,2216,2216,2216,2229,Special Attention Report,Directed Patrol - Larceny
577,C,440,440,525,525,Special Attention Report,Directed Patrol - Larceny
578,C,216,216,247,247,Special Attention Report,Directed Patrol - Larceny
579,C,2002,2003,2010,2040,Burglary Alarm,Burglary Alarm
580,C,815,815,815,819,Special Attention Report,Directed Patrol - Retail Fraud
581,C,2155,2155,2155,2207,Special Attention Report,Directed Patrol - Larceny
582,C,2235,2235,2235,2241,Special Attention Report,Directed Patrol - Larceny
583,C,1422,1423,1427,1447,Assist Motorist,Assist Motorist
584,C,1317,1317,1317,1350,Special Attention Report,Directed Patrol - Larceny
585,C,924,924,924,927,Special Attention Report,Directed Patrol - Larceny
586,C,1752,1752,1752,1753,Miscellaneous All Other,Pistol Sales Record
587,C,1626,1626,1626,1652,Special Attention Report,Directed Patrol - Larceny
588,C,1611,1613,1619,0,Miscellaneous Traffic Complaint,Miscellaneous Traffic Complaint
589,C,1504,1506,1509,0,Suspicious Circumstances,Assist Citizen
590,C,2004,2005,2005,2005,911 Hang Up - No Emergency,911 Hang Up - No Emergency
591,C,1552,1552,1552,1613,Special Attention Report,Directed Patrol - Larceny
592,C,2353,2353,2353,5,Special Attention Report,Directed Patrol - Larceny
593,C,2153,2154,2154,2247,Special Attention Report,Directed Patrol - Larceny
594,C,2210,2210,2210,2242,Special Attention Report,Directed Patrol - Larceny
595,C,2246,2247,2247,2353,Special Attention Report,Directed Patrol - Larceny
596,C,1227,1228,1228,1254,Special Attention Report,Special Attention Report
597,C,1228,1229,1229,1243,Special Attention Report,Directed Patrol - Larceny
598,R,1020,1020,1026,1049,Suspicious Circumstances,Found Property
599,C,1958,1958,1958,2003,Special Attention Report,Directed Patrol
600,C,452,452,527,537,Special Attention Report,Directed Patrol - Traffic
601,C,1933,1933,1933,1956,Special Attention Report,Directed Patrol
602,C,1921,1921,1921,1940,Special Attention Report,Directed Patrol - Larceny
