empty,id,alias,total,b,w,unk_gen,w,b,a,ai,unk_r,b_percent,w_percent,unk_gen_percent,w_percent,b_percent,a_percent,ai_percent,unk_r_percent
0,1,100,73,35,38,0,45,17,5,6,0,47.94520548,52.05479452,0,61.64383562,23.28767123,6.849315068,8.219178082,0
0,2,101,"1,626",877,749,0,"1,136",184,95,84,127,53.93603936,46.06396064,0,69.86469865,11.31611316,5.842558426,5.166051661,7.810578106
0,3,102,1,0,1,0,1,0,0,0,0,0,100,0,100,0,0,0,0
0,4,103,154,95,59,0,59,54,9,0,32,61.68831169,38.31168831,0,38.31168831,35.06493506,5.844155844,0,20.77922078
0,5,104,125,65,60,0,76,24,15,2,8,52,48,0,60.8,19.2,12,1.6,6.4
0,6,105,15,9,5,1,8,2,3,1,1,60,33.33333333,6.666666667,53.33333333,13.33333333,20,6.666666667,6.666666667
0,7,106,146,83,63,0,97,18,23,0,8,56.84931507,43.15068493,0,66.43835616,12.32876712,15.75342466,0,5.479452055
0,8,107,76,42,34,0,36,25,2,0,13,55.26315789,44.73684211,0,47.36842105,32.89473684,2.631578947,0,17.10526316
0,9,108,13,10,3,0,8,5,0,0,0,76.92307692,23.07692308,0,61.53846154,38.46153846,0,0,0
0,10,109,1,1,0,0,1,0,0,0,0,100,0,0,100,0,0,0,0
0,11,110,132,95,37,0,101,16,5,1,9,71.96969697,28.03030303,0,76.51515152,12.12121212,3.787878788,0.757575758,6.818181818
0,12,111,129,74,55,0,93,13,17,1,5,57.36434109,42.63565891,0,72.09302326,10.07751938,13.17829457,0.775193798,3.875968992
0,13,112,69,36,33,0,37,25,5,0,2,52.17391304,47.82608696,0,53.62318841,36.23188406,7.246376812,0,2.898550725
0,14,113,53,34,19,0,26,14,6,2,5,64.1509434,35.8490566,0,49.05660377,26.41509434,11.32075472,3.773584906,9.433962264
0,15,114,4,1,3,0,3,1,0,0,0,25,75,0,75,25,0,0,0
0,16,115,19,14,5,0,12,3,3,0,1,73.68421053,26.31578947,0,63.15789474,15.78947368,15.78947368,0,5.263157895
0,17,116,20,11,9,0,11,5,1,0,3,55,45,0,55,25,5,0,15
0,18,117,7,2,5,0,0,0,0,0,7,28.57142857,71.42857143,0,0,0,0,0,100
0,19,118,97,54,42,1,72,11,4,0,10,55.67010309,43.29896907,1.030927835,74.22680412,11.34020619,4.12371134,0,10.30927835
0,20,119,54,32,22,0,33,8,6,0,7,59.25925926,40.74074074,0,61.11111111,14.81481481,11.11111111,0,12.96296296
0,21,120,125,70,54,1,87,21,13,0,4,56,43.2,0.8,69.6,16.8,10.4,0,3.2
0,22,121,1,1,0,0,0,1,0,0,0,100,0,0,0,100,0,0,0
0,23,122,167,109,58,0,81,51,11,0,24,65.26946108,34.73053892,0,48.50299401,30.53892216,6.586826347,0,14.37125749
0,24,123,202,117,85,0,131,34,36,0,1,57.92079208,42.07920792,0,64.85148515,16.83168317,17.82178218,0,0.495049505
0,25,124,116,71,44,1,74,15,8,0,19,61.20689655,37.93103448,0.862068966,63.79310345,12.93103448,6.896551724,0,16.37931034
0,26,125,196,88,108,0,163,12,18,0,3,44.89795918,55.10204082,0,83.16326531,6.12244898,9.183673469,0,1.530612245
0,27,126,2,1,1,0,0,0,0,0,2,50,50,0,0,0,0,0,100
0,28,127,"1,642",954,687,1,"1,189",201,209,0,43,58.0998782,41.83922046,0.06090134,72.41169306,12.24116931,12.72838002,0,2.618757613
0,29,128,60,36,24,0,39,17,4,0,0,60,40,0,65,28.33333333,6.666666667,0,0
0,30,129,97,48,49,0,67,14,3,0,13,49.48453608,50.51546392,0,69.07216495,14.43298969,3.092783505,0,13.40206186
0,31,130,207,128,79,0,106,67,7,0,27,61.83574879,38.16425121,0,51.20772947,32.36714976,3.381642512,0,13.04347826
0,32,131,2,0,2,0,1,0,0,0,1,0,100,0,50,0,0,0,50
0,33,132,38,21,17,0,20,6,5,2,5,55.26315789,44.73684211,0,52.63157895,15.78947368,13.15789474,5.263157895,13.15789474
0,34,133,54,28,26,0,39,6,2,0,7,51.85185185,48.14814815,0,72.22222222,11.11111111,3.703703704,0,12.96296296
0,35,134,54,40,14,0,37,7,4,0,6,74.07407407,25.92592593,0,68.51851852,12.96296296,7.407407407,0,11.11111111
0,36,135,1,1,0,0,1,0,0,0,0,100,0,0,100,0,0,0,0
0,37,136,53,34,19,0,28,18,3,2,2,64.1509434,35.8490566,0,52.83018868,33.96226415,5.660377358,3.773584906,3.773584906
0,38,137,52,35,17,0,24,10,2,0,16,67.30769231,32.69230769,0,46.15384615,19.23076923,3.846153846,0,30.76923077
0,39,138,15,12,3,0,10,2,3,0,0,80,20,0,66.66666667,13.33333333,20,0,0
0,40,139,107,63,44,0,67,13,20,0,7,58.87850467,41.12149533,0,62.61682243,12.14953271,18.69158879,0,6.542056075
0,41,140,47,39,8,0,31,13,3,0,0,82.9787234,17.0212766,0,65.95744681,27.65957447,6.382978723,0,0
0,42,141,187,99,88,0,111,22,15,2,37,52.94117647,47.05882353,0,59.35828877,11.76470588,8.021390374,1.069518717,19.78609626
0,43,142,133,70,63,0,86,29,12,0,6,52.63157895,47.36842105,0,64.66165414,21.80451128,9.022556391,0,4.511278195
0,44,143,131,92,39,0,78,39,3,0,11,70.22900763,29.77099237,0,59.54198473,29.77099237,2.290076336,0,8.396946565
0,45,144,140,80,60,0,89,26,20,0,5,57.14285714,42.85714286,0,63.57142857,18.57142857,14.28571429,0,3.571428571
0,46,145,72,47,25,0,48,24,0,0,0,65.27777778,34.72222222,0,66.66666667,33.33333333,0,0,0
0,47,146,179,101,78,0,122,36,9,0,12,56.42458101,43.57541899,0,68.15642458,20.11173184,5.027932961,0,6.703910615
0,48,147,91,50,41,0,60,20,9,0,2,54.94505495,45.05494505,0,65.93406593,21.97802198,9.89010989,0,2.197802198
0,49,148,144,77,67,0,84,27,19,0,14,53.47222222,46.52777778,0,58.33333333,18.75,13.19444444,0,9.722222222
0,50,149,70,34,36,0,39,8,6,0,17,48.57142857,51.42857143,0,55.71428571,11.42857143,8.571428571,0,24.28571429
0,51,150,202,107,94,1,119,46,16,0,21,52.97029703,46.53465347,0.495049505,58.91089109,22.77227723,7.920792079,0,10.3960396
0,52,151,143,79,64,0,85,45,9,0,4,55.24475524,44.75524476,0,59.44055944,31.46853147,6.293706294,0,2.797202797
0,53,152,177,100,77,0,121,32,15,0,9,56.49717514,43.50282486,0,68.36158192,18.07909605,8.474576271,0,5.084745763
0,54,153,100,65,35,0,59,27,9,0,5,65,35,0,59,27,9,0,5
0,55,154,115,62,53,0,84,5,6,0,20,53.91304348,46.08695652,0,73.04347826,4.347826087,5.217391304,0,17.39130435
0,56,155,258,97,134,27,0,1,0,0,257,37.59689922,51.9379845,10.46511628,0,0.387596899,0,0,99.6124031
0,56,156,1,1,0,0,0,1,0,0,0,100,0,0,0,100,0,0,0
0,56,average,8195,4627,3535,33,5235,1321,698,103,838,56.46125686,43.13605857,0.402684564,63.88041489,16.11958511,8.517388652,1.256863941,10.22574741
