id,offense description,date,number,lat,lng
1,SCHOOL VISIT ,01/01/19,249,42.484082,-83.457421
2,SCHOOL VISIT ,01/03/19,253,42.468959,-83.522221
3,SCHOOL VISIT ,01/03/19,217,42.468959,-83.522221
4,SCHOOL VISIT ,01/03/19,217,42.512892,-83.449649
5,SCHOOL VISIT ,01/03/19,217,42.521202,-83.469492
6,SCHOOL VISIT ,01/04/19,216,42.521202,-83.469492
7,SCHOOL VISIT ,01/06/19,291,42.463211,-83.490985
8,SCHOOL VISIT ,01/07/19,285,42.486569,-83.535075
9,SCHOOL VISIT ,01/07/19,295,42.450681,-83.504154
10,SCHOOL VISIT ,01/07/19,295,42.489376,-83.540248
11,SCHOOL VISIT ,01/07/19,295,42.481261,-83.516392
12,SCHOOL VISIT ,01/08/19,296,42.521202,-83.469492
13,SCHOOL VISIT ,01/08/19,253,42.450681,-83.504154
14,SCHOOL VISIT ,01/08/19,245,42.484082,-83.457421
15,SCHOOL VISIT ,01/09/19,291,42.463211,-83.490985
16,SCHOOL VISIT ,01/09/19,216,42.521202,-83.469492
17,SCHOOL VISIT ,01/09/19,244,42.465061,-83.461523
18,SCHOOL VISIT ,01/09/19,291,42.450681,-83.504154
19,SCHOOL VISIT ,01/09/19,230,42.461427,-83.446007
20,SCHOOL VISIT ,01/09/19,291,42.468959,-83.522221
21,SCHOOL VISIT ,01/10/19,244,42.461427,-83.446007
22,SCHOOL VISIT ,01/10/19,244,42.468514,-83.439433
23,SCHOOL VISIT ,01/11/19,285,42.473913,-83.497865
24,SCHOOL VISIT ,01/11/19,295,42.476463,-83.497671
25,SCHOOL VISIT ,01/11/19,285,42.450681,-83.504154
26,SCHOOL VISIT ,02/01/19,266,42.468959,-83.522221
27,SCHOOL VISIT ,02/07/19,216,42.521202,-83.469492
28,SCHOOL VISIT ,02/10/19,253,42.484082,-83.457421
29,SCHOOL VISIT ,02/11/19,244,42.461427,-83.446007
30,SCHOOL VISIT ,02/11/19,266,42.468959,-83.522221
31,SCHOOL VISIT ,02/11/19,216,42.521202,-83.469492
32,SCHOOL VISIT ,02/11/19,230,42.461427,-83.446007
33,SCHOOL VISIT ,02/11/19,244,42.465061,-83.461523
34,SCHOOL VISIT ,03/01/19,230,42.461427,-83.446007
35,SCHOOL VISIT ,03/01/19,216,42.521202,-83.469492
36,SCHOOL VISIT ,03/01/19,286,42.463211,-83.490985
37,SCHOOL VISIT ,03/04/19,256,42.521202,-83.469492
38,SCHOOL VISIT ,03/04/19,297,42.450681,-83.504154
39,SCHOOL VISIT ,03/05/19,285,42.463211,-83.490985
40,SCHOOL VISIT ,03/05/19,245,42.465061,-83.461523
41,SCHOOL VISIT ,03/06/19,216,42.521202,-83.469492
42,SCHOOL VISIT ,03/06/19,230,42.461427,-83.446007
43,SCHOOL VISIT ,03/06/19,285,42.473913,-83.497865
44,SCHOOL VISIT ,03/06/19,230,42.465061,-83.461523
45,SCHOOL VISIT ,03/07/19,216,42.521202,-83.469492
46,SCHOOL VISIT ,03/07/19,266,42.468959,-83.522221
47,SCHOOL VISIT ,03/08/19,253,42.461427,-83.446007
48,SCHOOL VISIT ,03/08/19,295,42.450681,-83.504154
49,SCHOOL VISIT ,03/08/19,297,42.468959,-83.522221
50,SCHOOL VISIT ,03/11/19,240,42.473913,-83.497865
51,SCHOOL VISIT ,03/11/19,216,42.521202,-83.469492
52,SCHOOL VISIT ,03/11/19,230,42.461427,-83.446007
53,SCHOOL VISIT ,03/11/19,230,42.465061,-83.461523
54,SCHOOL VISIT ,03/12/19,244,42.465061,-83.461523
55,SCHOOL VISIT ,03/12/19,244,42.461427,-83.446007
