id,description,date,number,lat,lng,count
1,SCHOOL VISIT ,1/1/19,249,42.484082,-83.457421,1
2,SCHOOL VISIT ,1/3/19,253,42.468959,-83.522221,1
3,SCHOOL VISIT ,1/3/19,217,42.468959,-83.522221,1
4,SCHOOL VISIT ,1/3/19,217,42.512892,-83.449649,1
5,SCHOOL VISIT ,1/3/19,217,42.521202,-83.469492,1
6,SCHOOL VISIT ,1/4/19,216,42.521202,-83.469492,1
7,SCHOOL VISIT ,1/6/19,291,42.463211,-83.490985,1
8,SCHOOL VISIT ,1/7/19,285,42.486569,-83.535075,1
9,SCHOOL VISIT ,1/7/19,295,42.450681,-83.504154,1
10,SCHOOL VISIT ,1/7/19,295,42.489376,-83.540248,1
11,SCHOOL VISIT ,1/7/19,295,42.481261,-83.516392,1
12,SCHOOL VISIT ,1/8/19,296,42.521202,-83.469492,1
13,SCHOOL VISIT ,1/8/19,253,42.450681,-83.504154,1
14,SCHOOL VISIT ,1/8/19,245,42.484082,-83.457421,1
15,SCHOOL VISIT ,1/9/19,291,42.463211,-83.490985,1
16,SCHOOL VISIT ,1/9/19,216,42.521202,-83.469492,1
17,SCHOOL VISIT ,1/9/19,244,42.465061,-83.461523,1
18,SCHOOL VISIT ,1/9/19,291,42.450681,-83.504154,1
19,SCHOOL VISIT ,1/9/19,230,42.461427,-83.446007,1
20,SCHOOL VISIT ,1/9/19,291,42.468959,-83.522221,1
21,SCHOOL VISIT ,1/10/19,244,42.461427,-83.446007,1
22,SCHOOL VISIT ,1/10/19,244,42.468514,-83.439433,1
23,SCHOOL VISIT ,1/11/19,285,42.473913,-83.497865,1
24,SCHOOL VISIT ,1/11/19,295,42.476463,-83.497671,1
25,SCHOOL VISIT ,1/11/19,285,42.450681,-83.504154,1
26,SCHOOL VISIT ,2/1/19,266,42.468959,-83.522221,1
27,SCHOOL VISIT ,2/7/19,216,42.521202,-83.469492,1
28,SCHOOL VISIT ,2/10/19,253,42.484082,-83.457421,1
29,SCHOOL VISIT ,2/11/19,244,42.461427,-83.446007,1
30,SCHOOL VISIT ,2/11/19,266,42.468959,-83.522221,1
31,SCHOOL VISIT ,2/11/19,216,42.521202,-83.469492,1
32,SCHOOL VISIT ,2/11/19,230,42.461427,-83.446007,1
33,SCHOOL VISIT ,2/11/19,244,42.465061,-83.461523,1
34,SCHOOL VISIT ,3/1/19,230,42.461427,-83.446007,1
35,SCHOOL VISIT ,3/1/19,216,42.521202,-83.469492,1
36,SCHOOL VISIT ,3/1/19,286,42.463211,-83.490985,1
37,SCHOOL VISIT ,3/4/19,256,42.521202,-83.469492,1
38,SCHOOL VISIT ,3/4/19,297,42.450681,-83.504154,1
39,SCHOOL VISIT ,3/5/19,285,42.463211,-83.490985,1
40,SCHOOL VISIT ,3/5/19,245,42.465061,-83.461523,1
41,SCHOOL VISIT ,3/6/19,216,42.521202,-83.469492,1
42,SCHOOL VISIT ,3/6/19,230,42.461427,-83.446007,1
43,SCHOOL VISIT ,3/6/19,285,42.473913,-83.497865,1
44,SCHOOL VISIT ,3/6/19,230,42.465061,-83.461523,1
45,SCHOOL VISIT ,3/7/19,216,42.521202,-83.469492,1
46,SCHOOL VISIT ,3/7/19,266,42.468959,-83.522221,1
47,SCHOOL VISIT ,3/8/19,253,42.461427,-83.446007,1
48,SCHOOL VISIT ,3/8/19,295,42.450681,-83.504154,1
49,SCHOOL VISIT ,3/8/19,297,42.468959,-83.522221,1
50,SCHOOL VISIT ,3/11/19,240,42.473913,-83.497865,1
51,SCHOOL VISIT ,3/11/19,216,42.521202,-83.469492,1
52,SCHOOL VISIT ,3/11/19,230,42.461427,-83.446007,1
53,SCHOOL VISIT ,3/11/19,230,42.465061,-83.461523,1
54,SCHOOL VISIT ,3/12/19,244,42.465061,-83.461523,1
55,SCHOOL VISIT ,3/12/19,244,42.461427,-83.446007,1
56,SCHOOL VISIT ,4/8/19,285,42.461427,-83.446007,1
57,SCHOOL VISIT ,4/9/19,292,42.521202,-83.469492,1
58,SCHOOL VISIT ,4/9/19,256,42.521202,-83.469492,1
59,SCHOOL VISIT ,4/10/19,248,42.463211,-83.490985,1
60,SCHOOL VISIT ,4/10/19,253,42.450681,-83.504154,1
61,SCHOOL VISIT ,4/10/19,253,42.450681,-83.504154,1
62,SCHOOL VISIT ,4/10/19,299,42.489376,-83.540248,1
63,SCHOOL VISIT ,4/11/19,299,42.468514,-83.439433,1
64,SCHOOL VISIT ,4/11/19,248,42.47843,-83.495453,1
65,SCHOOL VISIT ,4/11/19,248,42.476463,-83.497671,1
66,SCHOOL VISIT ,4/11/19,248,42.477863,-83.495421,1
67,SCHOOL VISIT ,4/11/19,248,42.473913,-83.497865,1
68,SCHOOL VISIT ,4/11/19,253,42.450681,-83.504154,1
69,SCHOOL VISIT ,5/1/19,302,42.461427,-83.446007,1
70,SCHOOL VISIT ,5/1/19,256,42.521202,-83.469492,1
71,SCHOOL VISIT ,5/2/19,285,42.461427,-83.446007,1
72,SCHOOL VISIT ,5/2/19,256,42.512892,-83.449649,1
73,SCHOOL VISIT ,5/2/19,292,42.521202,-83.469492,1
74,SCHOOL VISIT ,5/2/19,285,42.468514,-83.439433,1
75,SCHOOL VISIT ,5/3/19,253,42.450681,-83.504154,1
76,SCHOOL VISIT ,5/3/19,216,42.521202,-83.469492,1
77,SCHOOL VISIT ,5/4/19,248,42.47843,-83.495453,1
78,SCHOOL VISIT ,5/6/19,285,42.465061,-83.461523,1
79,SCHOOL VISIT ,5/7/19,285,42.465061,-83.461523,1
80,SCHOOL VISIT ,5/7/19,295,42.450681,-83.504154,1
81,SCHOOL VISIT ,5/7/19,285,42.468514,-83.439433,1
82,SCHOOL VISIT ,5/7/19,271,42.484082,-83.457421,1
83,SCHOOL VISIT ,5/7/19,292,42.521202,-83.469492,1
84,SCHOOL VISIT ,5/8/19,248,42.468959,-83.522221,1
85,SCHOOL VISIT ,5/8/19,253,42.450681,-83.504154,1
86,SCHOOL VISIT ,5/8/19,216,42.521202,-83.469492,1
87,SCHOOL VISIT ,5/8/19,298,42.465061,-83.461523,1
88,SCHOOL VISIT ,5/9/19,248,42.463211,-83.490985,1
89,SCHOOL VISIT ,5/9/19,252,42.463211,-83.490985,1
90,SCHOOL VISIT ,6/1/19,301,42.463211,-83.490985,1
91,SCHOOL VISIT ,6/1/19,294,42.463211,-83.490985,1
92,SCHOOL VISIT ,6/3/19,298,42.461427,-83.446007,1
93,SCHOOL VISIT ,6/3/19,285,42.465061,-83.461523,1
