id,rank,training_name,training_type,hours
1,Patrol Sergeant,Outdoor Rifle Training,Police Training,9
2,Patrol Sergeant,Advanced Roadside Impaired Driving Enforcement (ARIDE),Police Training,16
3,Patrol Sergeant,Firearms Training/Qualification,Police Training,1
4,Patrol Sergeant,Firearms Training/Qualification,Police Training,1
5,Patrol Sergeant,Firearms Training/Qualification,Police Training,1
6,Patrol Sergeant,2019 Bloodborne Pathogens ,Police Training,1
7,Patrol Sergeant,Hazardous Materials 2019,Police Training,1
8,Patrol Sergeant,2019 Crisis Intervention / Crisis Negotiation,Police Training,2
9,Patrol Sergeant,2019 Taser / PPCT / Freeze +P / ASP,Police Training,4
10,Patrol Sergeant,2019 Response to Resistance Scenarios,Police Training,4
11,Patrol Sergeant,2019 EVO / Pursuit / Decision Making / Directive Review,Police Training,1
12,Patrol Sergeant,2019 Home Made Explosives Recognition,Police Training,1
13,Patrol Sergeant,2019 ALICE Methodology,Police Training,1
14,Patrol Sergeant,2019 Community Policing / Problem Solving,Police Training,1
15,Patrol Sergeant,2019 Below 100,Police Training,1
16,Patrol Sergeant,2019 Legal Update / Domestic Violence / Stalking,Police Training,6
17,Patrol Sergeant,2019 Employee Asssistance Program,Police Training,1
18,Patrol Sergeant,2019 52-1 District Court Update ,Police Training,2
19,Patrol Sergeant,2019 LEIN / MICR / Booking Update,Police Training,2
20,Patrol Sergeant,2019 Resiliance and Self Care for First Repsonders,Police Training,2
21,Patrol Sergeant,2019 Accreditation Training,Community Policing,1
22,Patrol Sergeant,Law Enforcement Response to Domestic Violence,Police Training,8
23,Patrol Sergeant,Ethical Decision Making and Intervention,Police Training,1
24,Patrol Sergeant,What the Recreational Marihuana Law Means for Prosecurtors and Law Enforcement on OWI Cases,Police Training,4
25,Patrol Sergeant,2019 Accreditation Review,Police Training,1
26,Patrol Sergeant,Michigan State Police Security Awareness Training Level 1,Police Training,1
27,Patrol Sergeant,Michigan State Police Security Awareness Training Level 2,Police Training,1
28,Patrol Sergeant,Michigan State Police Security Awareness Training Level 3,Police Training,1
29,Patrol Sergeant,Veterans Affairs S.A.V.E Training,Police Training,1
30,Patrol Sergeant,Office of Highway Safety Planning OWI Investigations,Police Training,1
31,Patrol Sergeant,MCOLES Active Duty Firearm Standard 2019,Police Training,1
32,Patrol Sergeant,TSC Watchlisting Training,Police Training,1
33,Patrol Sergeant,19-905 OWI Investigations,Police Training,1
34,Patrol Sergeant,Rifle Instructor Training & Curriculum Development,Police Training,8
35,Patrol Sergeant,Outdoor Rifle Training,Police Training,9
36,Patrol Sergeant,Rifle Training and Qualification,Police Training,8
37,Patrol Sergeant,ILEETA Training Conference,Police Training,54
38,Patrol Sergeant,Advanced Roadside Impaired Driving Enforcement (ARIDE),Police Training,16
39,Patrol Sergeant,Firearms Training/Qualification,Police Training,1
40,Patrol Sergeant,Firearms Training/Qualification,Police Training,1
41,Patrol Sergeant,Firearms Training/Qualification,Police Training,1
42,Patrol Sergeant,Firearms Training/Qualification,Police Training,1
43,Patrol Sergeant,Firearms Training/Qualification,Police Training,1
44,Patrol Sergeant,Firearms Training/Qualification,Police Training,1
45,Patrol Sergeant,2019 Bloodborne Pathogens ,Police Training,1
46,Patrol Sergeant,Hazardous Materials 2019,Police Training,1
47,Patrol Sergeant,2019 Crisis Intervention / Crisis Negotiation,Police Training,2
48,Patrol Sergeant,2019 Taser / PPCT / Freeze +P / ASP,Police Training,4
49,Patrol Sergeant,2019 Response to Resistance Scenarios,Police Training,4
50,Patrol Sergeant,2019 EVO / Pursuit / Decision Making / Directive Review,Police Training,1
51,Patrol Sergeant,2019 Home Made Explosives Recognition,Police Training,1
52,Patrol Sergeant,2019 ALICE Methodology,Police Training,1
53,Patrol Sergeant,2019 Community Policing / Problem Solving,Police Training,1
54,Patrol Sergeant,2019 Below 100,Police Training,1
55,Patrol Sergeant,2019 Legal Update / Domestic Violence / Stalking,Police Training,6
56,Patrol Sergeant,2019 Employee Asssistance Program,Police Training,1
57,Patrol Sergeant,2019 52-1 District Court Update ,Police Training,2
58,Patrol Sergeant,2019 LEIN / MICR / Booking Update,Police Training,2
59,Patrol Sergeant,2019 Resiliance and Self Care for First Repsonders,Police Training,2
60,Patrol Sergeant,Ethical Decision Making and Intervention,Police Training,1
61,Patrol Sergeant,2019 Accreditation Review,Police Training,1
62,Patrol Sergeant,Michigan State Police Security Awareness Training Level 1,Police Training,1
63,Patrol Sergeant,Michigan State Police Security Awareness Training Level 2,Police Training,1
64,Patrol Sergeant,Veterans Affairs S.A.V.E Training,Police Training,1
65,Patrol Sergeant,Office of Highway Safety Planning OWI Investigations,Police Training,1
66,Patrol Sergeant,MCOLES Active Duty Firearm Standard 2019,Police Training,1
67,Patrol Sergeant,TSC Watchlisting Training,Police Training,1
68,Patrol Sergeant,19-905 OWI Investigations,Police Training,1
69,Patrol Sergeant,Response to Resistance Annual Cadre Meeting,Police Training,8
70,Patrol Sergeant,2020 Community Policing and Problem Solving,Police Training,1
71,Patrol Officer,Rifle Training and Qualification,Police Training,8
72,Patrol Officer,Rifle Training and Qualification,Police Training,8
73,Patrol Officer,Firearms Training/Qualification,Police Training,1
74,Patrol Officer,Firearms Training/Qualification,Police Training,1
75,Patrol Officer,Firearms Training/Qualification,Police Training,1
76,Patrol Officer,Firearms Training/Qualification,Police Training,1
77,Patrol Officer,Emergency Vehicle Operations (EVO),Police Training,8
78,Patrol Officer,Michigan Association of Hostage Negotiators Confrence,Police Training,16
79,Patrol Officer,2019 Bloodborne Pathogens ,Police Training,1
80,Patrol Officer,Hazardous Materials 2019,Police Training,1
81,Patrol Officer,2019 Crisis Intervention / Crisis Negotiation,Police Training,2
82,Patrol Officer,2019 Taser / PPCT / Freeze +P / ASP,Police Training,4
83,Patrol Officer,2019 Response to Resistance Scenarios,Police Training,4
84,Patrol Officer,2019 EVO / Pursuit / Decision Making / Directive Review,Police Training,1
85,Patrol Officer,2019 Home Made Explosives Recognition,Police Training,1
86,Patrol Officer,2019 ALICE Methodology,Police Training,1
87,Patrol Officer,2019 Community Policing / Problem Solving,Police Training,1
88,Patrol Officer,2019 Below 100,Police Training,1
89,Patrol Officer,2019 Legal Update / Domestic Violence / Stalking,Police Training,6
90,Patrol Officer,2019 Employee Asssistance Program,Police Training,1
91,Patrol Officer,2019 52-1 District Court Update ,Police Training,2
92,Patrol Officer,2019 LEIN / MICR / Booking Update,Police Training,2
93,Patrol Officer,2019 Resiliance and Self Care for First Repsonders,Police Training,2
94,Patrol Officer,2019 Accreditation Training,Community Policing,1
95,Patrol Officer,Ethical Decision Making and Intervention,Police Training,1
96,Patrol Officer,2019 Accreditation Review,Police Training,1
97,Patrol Officer,Michigan State Police Security Awareness Training Level 1,Police Training,1
98,Patrol Officer,Michigan State Police Security Awareness Training Level 2,Police Training,1
99,Patrol Officer,Michigan State Police Security Awareness Training Level 3,Police Training,1
100,Patrol Officer,Individual and Group Crisis Intervention Train the Trainer,Police Training,24
101,Patrol Officer,FBI Crisis Negotiation,Police Training,24
102,Patrol Officer,Veterans Affairs S.A.V.E Training,Police Training,1
103,Patrol Officer,Office of Highway Safety Planning OWI Investigations,Police Training,1
104,Patrol Officer,Survive and Thrive Protecting You and Your Fellow Officers,Police Training,18
105,Patrol Officer,TSC Watchlisting Training,Police Training,1
106,Patrol Officer,Michigan Crisis Intervention Training Conference ,Police Training,16
107,Patrol Officer,19-905 OWI Investigations,Police Training,1
108,Patrol Officer,Rifle Training and Qualification,Police Training,8
109,Patrol Officer,Rifle Training and Qualification,Police Training,8
110,Patrol Officer,Advanced Roadside Impaired Driving Enforcement (ARIDE),Police Training,16
111,Patrol Officer,Firearms Training/Qualification,Police Training,1
112,Patrol Officer,Firearms Training/Qualification,Police Training,1
113,Patrol Officer,Firearms Training/Qualification,Police Training,1
114,Patrol Officer,Fair and Impartial Policing - Train the Trainer,Police Training,27
115,Patrol Officer,Emergency Vehicle Operations (EVO),Police Training,8
116,Patrol Officer,2019 Bloodborne Pathogens ,Police Training,1
117,Patrol Officer,Hazardous Materials 2019,Police Training,1
118,Patrol Officer,2019 Crisis Intervention / Crisis Negotiation,Police Training,2
119,Patrol Officer,2019 Taser / PPCT / Freeze +P / ASP,Police Training,4
120,Patrol Officer,2019 Response to Resistance Scenarios,Police Training,4
121,Patrol Officer,2019 EVO / Pursuit / Decision Making / Directive Review,Police Training,1
122,Patrol Officer,2019 Home Made Explosives Recognition,Police Training,1
123,Patrol Officer,2019 ALICE Methodology,Police Training,1
124,Patrol Officer,2019 Community Policing / Problem Solving,Police Training,1
125,Patrol Officer,2019 Below 100,Police Training,1
126,Patrol Officer,2019 Legal Update / Domestic Violence / Stalking,Police Training,6
127,Patrol Officer,2019 Employee Asssistance Program,Police Training,1
128,Patrol Officer,2019 52-1 District Court Update ,Police Training,2
129,Patrol Officer,2019 LEIN / MICR / Booking Update,Police Training,2
130,Patrol Officer,2019 Resiliance and Self Care for First Repsonders,Police Training,2
131,Patrol Officer,Ethical Decision Making and Intervention,Police Training,1
132,Patrol Officer,2019 Accreditation Review,Police Training,1
133,Patrol Officer,Michigan State Police Security Awareness Training Level 1,Police Training,1
134,Patrol Officer,Michigan State Police Security Awareness Training Level 2,Police Training,1
135,Patrol Officer,Michigan State Police Security Awareness Training Level 3,Police Training,1
136,Patrol Officer,Veterans Affairs S.A.V.E Training,Police Training,1
137,Patrol Officer,Office of Highway Safety Planning OWI Investigations,Police Training,1
138,Patrol Officer,MELOA Fourth Annual National Diversity Training Conference,Police Training,16
139,Patrol Officer,TSC Watchlisting Training,Police Training,1
140,Patrol Officer,19-905 OWI Investigations,Police Training,1
141,Patrol Officer,Rifle Training and Qualification,Police Training,8
142,Patrol Officer,Rifle Training and Qualification,Police Training,8
143,Patrol Officer,Michigan Traffic Safety Summit,Police Training,24
144,Patrol Officer,Firearms Training/Qualification,Police Training,1
145,Patrol Officer,Firearms Training/Qualification,Police Training,1
146,Patrol Officer,Fair and Impartial Policing - Train the Trainer,Police Training,27
147,Patrol Officer,Emergency Vehicle Operations (EVO),Police Training,8
148,Patrol Officer,2019 Bloodborne Pathogens ,Police Training,1
149,Patrol Officer,Hazardous Materials 2019,Police Training,1
150,Patrol Officer,2019 Crisis Intervention / Crisis Negotiation,Police Training,2
151,Patrol Officer,2019 Taser / PPCT / Freeze +P / ASP,Police Training,4
152,Patrol Officer,2019 Response to Resistance Scenarios,Police Training,4
153,Patrol Officer,2019 EVO / Pursuit / Decision Making / Directive Review,Police Training,1
154,Patrol Officer,2019 Home Made Explosives Recognition,Police Training,1
155,Patrol Officer,2019 ALICE Methodology,Police Training,1
156,Patrol Officer,2019 Community Policing / Problem Solving,Police Training,1
157,Patrol Officer,2019 Below 100,Police Training,1
158,Patrol Officer,2019 Legal Update / Domestic Violence / Stalking,Police Training,6
159,Patrol Officer,2019 Employee Asssistance Program,Police Training,1
160,Patrol Officer,2019 52-1 District Court Update ,Police Training,2
161,Patrol Officer,2019 LEIN / MICR / Booking Update,Police Training,2
162,Patrol Officer,2019 Resiliance and Self Care for First Repsonders,Police Training,2
163,Patrol Officer,Ethical Decision Making and Intervention,Police Training,1
164,Patrol Officer,2019 Accreditation Review,Police Training,1
165,Patrol Officer,Michigan State Police Security Awareness Training Level 1,Police Training,1
166,Patrol Officer,Michigan State Police Security Awareness Training Level 2,Police Training,1
167,Patrol Officer,Michigan State Police Security Awareness Training Level 3,Police Training,1
168,Patrol Officer,EVO Police Vehicle Operation - Instructor,Police Training,40
169,Patrol Officer,Veterans Affairs S.A.V.E Training,Police Training,1
170,Patrol Officer,Office of Highway Safety Planning OWI Investigations,Police Training,1
171,Patrol Officer,MCOLES Active Duty Firearm Standard 2019,Police Training,1
172,Patrol Officer,MELOA Fourth Annual National Diversity Training Conference,Police Training,16
173,Patrol Officer,TSC Watchlisting Training,Police Training,1
174,Patrol Officer,19-905 OWI Investigations,Police Training,1
175,Patrol Officer,Rifle Instructor Training & Curriculum Development,Police Training,8
176,Patrol Officer,Outdoor Rifle Training,Police Training,9
177,Patrol Officer,Outdoor Rifle Training,Police Training,9
178,Patrol Officer,Sig Sauer Rifle Training,Police Training,8
179,Patrol Officer,Sig Sauer Rifle Training,Police Training,8
180,Patrol Officer,Sig Sauer Rifle Training,Police Training,8
181,Patrol Officer,Rifle Training and Qualification,Police Training,8
182,Patrol Officer,Rifle Training and Qualification,Police Training,8
183,Patrol Officer,Advanced Roadside Impaired Driving Enforcement (ARIDE),Police Training,16
184,Patrol Officer,Firearms Training/Qualification,Police Training,1
185,Patrol Officer,Firearms Training/Qualification,Police Training,1
186,Patrol Officer,Firearms Training/Qualification,Police Training,1
187,Patrol Officer,Firearms Training/Qualification,Police Training,1
188,Patrol Officer,Firearms Training/Qualification,Police Training,1
189,Patrol Officer,UTM Instructor Certification,Police Training,4
190,Patrol Officer,2019 Bloodborne Pathogens ,Police Training,1
191,Patrol Officer,Hazardous Materials 2019,Police Training,1
192,Patrol Officer,2019 Crisis Intervention / Crisis Negotiation,Police Training,2
193,Patrol Officer,2019 Taser / PPCT / Freeze +P / ASP,Police Training,4
194,Patrol Officer,2019 Response to Resistance Scenarios,Police Training,4
195,Patrol Officer,2019 EVO / Pursuit / Decision Making / Directive Review,Police Training,1
196,Patrol Officer,2019 Home Made Explosives Recognition,Police Training,1
197,Patrol Officer,2019 ALICE Methodology,Police Training,1
198,Patrol Officer,2019 Community Policing / Problem Solving,Police Training,1
199,Patrol Officer,2019 Below 100,Police Training,1
200,Patrol Officer,2019 Legal Update / Domestic Violence / Stalking,Police Training,6
201,Patrol Officer,2019 Employee Asssistance Program,Police Training,1
202,Patrol Officer,2019 52-1 District Court Update ,Police Training,2
203,Patrol Officer,2019 LEIN / MICR / Booking Update,Police Training,2
204,Patrol Officer,2019 Resiliance and Self Care for First Repsonders,Police Training,2
205,Patrol Officer,Ethical Decision Making and Intervention,Police Training,1
206,Patrol Officer,2019 Accreditation Review,Police Training,1
207,Patrol Officer,Michigan State Police Security Awareness Training Level 1,Police Training,1
208,Patrol Officer,Michigan State Police Security Awareness Training Level 2,Police Training,1
209,Patrol Officer,Michigan State Police Security Awareness Training Level 3,Police Training,1
210,Patrol Officer,Gracie Survival Tactics - Instructor,Police Training,40
211,Patrol Officer,Veterans Affairs S.A.V.E Training,Police Training,1
212,Patrol Officer,MILO Simulator Training,Police Training,24
213,Patrol Officer,Office of Highway Safety Planning OWI Investigations,Police Training,1
214,Patrol Officer,MCOLES Active Duty Firearm Standard 2019,Police Training,1
215,Patrol Officer,TSC Watchlisting Training,Police Training,1
216,Patrol Officer,19-905 OWI Investigations,Police Training,1
217,Patrol Officer,Response to Resistance Annual Cadre Meeting,Police Training,8
218,Lieutenant,Police Mountain Bike Training,Police Training,8
219,Lieutenant,EMU School of Police Staff and Command,Police Training,36
220,Lieutenant,Firearms Training/Qualification,Police Training,1
221,Lieutenant,Firearms Training/Qualification,Police Training,1
222,Lieutenant,Firearms Training/Qualification,Police Training,1
223,Lieutenant,Firearms Training/Qualification,Police Training,1
224,Lieutenant,Firearms Training/Qualification,Police Training,1
225,Lieutenant,2019 Bloodborne Pathogens ,Police Training,1
226,Lieutenant,Hazardous Materials 2019,Police Training,1
227,Lieutenant,2019 Crisis Intervention / Crisis Negotiation,Police Training,2
228,Lieutenant,2019 Taser / PPCT / Freeze +P / ASP,Police Training,4
229,Lieutenant,2019 Response to Resistance Scenarios,Police Training,4
230,Lieutenant,2019 EVO / Pursuit / Decision Making / Directive Review,Police Training,1
231,Lieutenant,2019 Home Made Explosives Recognition,Police Training,1
232,Lieutenant,2019 ALICE Methodology,Police Training,1
233,Lieutenant,2019 Community Policing / Problem Solving,Police Training,1
234,Lieutenant,2019 Below 100,Police Training,1
235,Lieutenant,2019 Legal Update / Domestic Violence / Stalking,Police Training,6
236,Lieutenant,2019 Employee Asssistance Program,Police Training,1
237,Lieutenant,2019 52-1 District Court Update ,Police Training,2
238,Lieutenant,2019 LEIN / MICR / Booking Update,Police Training,2
239,Lieutenant,2019 Resiliance and Self Care for First Repsonders,Police Training,2
240,Lieutenant,Ethical Decision Making and Intervention,Police Training,1
241,Lieutenant,2019 Accreditation Review,Police Training,1
242,Lieutenant,Michigan State Police Security Awareness Training Level 1,Police Training,1
243,Lieutenant,Michigan State Police Security Awareness Training Level 2,Police Training,1
244,Lieutenant,Michigan State Police Security Awareness Training Level 3,Police Training,1
245,Lieutenant,Veterans Affairs S.A.V.E Training,Police Training,1
246,Lieutenant,Office of Highway Safety Planning OWI Investigations,Police Training,1
247,Lieutenant,Survive and Thrive Protecting You and Your Fellow Officers,Police Training,18
248,Lieutenant,MCOLES Active Duty Firearm Standard 2019,Police Training,1
249,Patrol Officer,Outdoor Rifle Training,Police Training,9
250,Patrol Officer,Rifle Training and Qualification,Police Training,8
251,Patrol Officer,Firearms Training/Qualification,Police Training,1
252,Patrol Officer,Firearms Training/Qualification,Police Training,1
253,Patrol Officer,Firearms Training/Qualification,Police Training,1
254,Patrol Officer,Firearms Training/Qualification,Police Training,1
255,Patrol Officer,Firearms Training/Qualification,Police Training,1
256,Patrol Officer,Firearms Training/Qualification,Police Training,1
257,Patrol Officer,Firearms Training/Qualification,Police Training,1
258,Patrol Officer,2019 Bloodborne Pathogens ,Police Training,1
259,Patrol Officer,Hazardous Materials 2019,Police Training,1
260,Patrol Officer,2019 Crisis Intervention / Crisis Negotiation,Police Training,2
261,Patrol Officer,2019 Taser / PPCT / Freeze +P / ASP,Police Training,4
262,Patrol Officer,2019 Response to Resistance Scenarios,Police Training,4
263,Patrol Officer,2019 EVO / Pursuit / Decision Making / Directive Review,Police Training,1
264,Patrol Officer,2019 Home Made Explosives Recognition,Police Training,1
265,Patrol Officer,2019 ALICE Methodology,Police Training,1
266,Patrol Officer,2019 Community Policing / Problem Solving,Police Training,1
267,Patrol Officer,2019 Below 100,Police Training,1
268,Patrol Officer,2019 Legal Update / Domestic Violence / Stalking,Police Training,6
269,Patrol Officer,2019 Employee Asssistance Program,Police Training,1
270,Patrol Officer,2019 52-1 District Court Update ,Police Training,2
271,Patrol Officer,2019 LEIN / MICR / Booking Update,Police Training,2
272,Patrol Officer,2019 Resiliance and Self Care for First Repsonders,Police Training,2
273,Patrol Officer,2019 Accreditation Training,Community Policing,1
274,Patrol Officer,Ethical Decision Making and Intervention,Police Training,1
275,Patrol Officer,2019 Accreditation Review,Police Training,1
276,Patrol Officer,Michigan State Police Security Awareness Training Level 1,Police Training,1
277,Patrol Officer,Michigan State Police Security Awareness Training Level 2,Police Training,1
278,Patrol Officer,Michigan State Police Security Awareness Training Level 3,Police Training,1
279,Patrol Officer,Veterans Affairs S.A.V.E Training,Police Training,1
280,Patrol Officer,Office of Highway Safety Planning OWI Investigations,Police Training,1
281,Patrol Officer,MCOLES Active Duty Firearm Standard 2019,Police Training,1
282,Patrol Officer,TSC Watchlisting Training,Police Training,1
283,Patrol Officer,19-905 OWI Investigations,Police Training,1
284,Patrol Officer,Taser Training,Police Training,8
285,Patrol Officer,Firearms Training/Qualification,Police Training,1
286,Communications Manager,Firearms Training/Qualification,Police Training,1
287,Communications Manager,2019 Bloodborne Pathogens ,Police Training,1
288,Communications Manager,Hazardous Materials 2019,Police Training,1
289,Communications Manager,Ethical Decision Making and Intervention,Police Training,1
290,Communications Manager,Michigan State Police Security Awareness Training Level 1,Police Training,1
291,Communications Manager,Michigan State Police Security Awareness Training Level 2,Police Training,1
292,Communications Manager,Michigan State Police Security Awareness Training Level 3,Police Training,1
293,Communications Manager,Veterans Affairs S.A.V.E Training,Police Training,1
294,Communications Manager,TSC Watchlisting Training,Police Training,1
295,Police Officer,Datamaster DMT,Police Training,2.5
296,Police Officer,Every Officer a Leader,Police Training,16
297,Police Officer,Outdoor Rifle Training,Police Training,9
298,Police Officer,Taser Training,Police Training,8
299,Police Officer,Rifle Training and Qualification,Police Training,8
300,Police Officer,Advanced Roadside Impaired Driving Enforcement (ARIDE),Police Training,16
301,Police Officer,OakTac Active Shooter Response Training,Police Training,16
302,Police Officer,Firearms Training/Qualification,Police Training,1
303,Police Officer,Firearms Training/Qualification,Police Training,1
304,Police Officer,Firearms Training/Qualification,Police Training,1
305,Police Officer,Firearms Training/Qualification,Police Training,1
306,Police Officer,Emergency Vehicle Operations (EVO),Police Training,8
307,Police Officer,MCOLES Active Duty Firearm Standard 2018,Police Training,1
308,Police Officer,2019 Bloodborne Pathogens ,Police Training,1
309,Police Officer,Hazardous Materials 2019,Police Training,1
